"url","template","indexable","robots","canonical","in_sitemap"
"https://kindredtrips.com/resort/catalonia-royal-la-romana-adults-only","resort","false","noindex, follow","https://kindredtrips.com/resort/catalonia-royal-la-romana-adults-only","false"
"https://kindredtrips.com/resort/catalonia-royal-tulum","resort","false","noindex, follow","https://kindredtrips.com/resort/catalonia-royal-tulum","false"
"https://kindredtrips.com/resort/catalonia-yucatan-beach","resort","true","index, follow, max-image-preview:large","https://kindredtrips.com/resort/catalonia-yucatan-beach","true"
"https://kindredtrips.com/resort/cayo-levantado-resort","resort","true","index, follow, max-image-preview:large","https://kindredtrips.com/resort/cayo-levantado-resort","true"
"https://kindredtrips.com/resort/cc-beach-front-papagayo","resort","true","index, follow, max-image-preview:large","https://kindredtrips.com/resort/cc-beach-front-papagayo","true"
"https://kindredtrips.com/resort/charela-inn","resort","true","index, follow, max-image-preview:large","https://kindredtrips.com/resort/charela-inn","true"
"https://kindredtrips.com/resort/club-ambiance","resort","false","noindex, follow","https://kindredtrips.com/resort/club-ambiance","false"
"https://kindredtrips.com/resort/club-med-cancun","resort","true","index, follow, max-image-preview:large","https://kindredtrips.com/resort/club-med-cancun","true"
"https://kindredtrips.com/resort/club-med-columbus-bahamas","resort","true","index, follow, max-image-preview:large","https://kindredtrips.com/resort/club-med-columbus-bahamas","true"
"https://kindredtrips.com/resort/club-med-ixtapa-pacific","resort","true","index, follow, max-image-preview:large","https://kindredtrips.com/resort/club-med-ixtapa-pacific","true"
"https://kindredtrips.com/resort/club-med-les-boucaniers-martinique","resort","true","index, follow, max-image-preview:large","https://kindredtrips.com/resort/club-med-les-boucaniers-martinique","true"
"https://kindredtrips.com/resort/club-med-miches-playa-esmeralda-dominican-republic","resort","true","index, follow, max-image-preview:large","https://kindredtrips.com/resort/club-med-miches-playa-esmeralda-dominican-republic","true"
"https://kindredtrips.com/resort/club-med-turkoise-turks-and-caicos","resort","false","noindex, follow","https://kindredtrips.com/resort/club-med-turkoise-turks-and-caicos","false"
"https://kindredtrips.com/resort/coco-palm","resort","true","index, follow, max-image-preview:large","https://kindredtrips.com/resort/coco-palm","true"
"https://kindredtrips.com/resort/coco-plum-island-resort","resort","false","noindex, follow","https://kindredtrips.com/resort/coco-plum-island-resort","false"
"https://kindredtrips.com/resort/cocobay-resort","resort","false","noindex, follow","https://kindredtrips.com/resort/cocobay-resort","false"
"https://kindredtrips.com/resort/coconut-bay-beach-resort-and-spa","resort","true","index, follow, max-image-preview:large","https://kindredtrips.com/resort/coconut-bay-beach-resort-and-spa","true"
"https://kindredtrips.com/resort/cocos-hotel-antigua","resort","false","noindex, follow","https://kindredtrips.com/resort/cocos-hotel-antigua","false"
"https://kindredtrips.com/resort/cofresi-palm-beach-and-spa-resort","resort","true","index, follow, max-image-preview:large","https://kindredtrips.com/resort/cofresi-palm-beach-and-spa-resort","true"
"https://kindredtrips.com/resort/conrad-tulum-riviera-maya","resort","true","index, follow, max-image-preview:large","https://kindredtrips.com/resort/conrad-tulum-riviera-maya","true"
"https://kindredtrips.com/resort/coral-costa-caribe-beach-resort","resort","true","index, follow, max-image-preview:large","https://kindredtrips.com/resort/coral-costa-caribe-beach-resort","true"
"https://kindredtrips.com/resort/costa-de-oro-beach-hotel","resort","true","index, follow, max-image-preview:large","https://kindredtrips.com/resort/costa-de-oro-beach-hotel","true"
"https://kindredtrips.com/resort/costa-sur-resort-and-spa","resort","true","index, follow, max-image-preview:large","https://kindredtrips.com/resort/costa-sur-resort-and-spa","true"
"https://kindredtrips.com/resort/couples-resorts-negril","resort","false","noindex, follow","https://kindredtrips.com/resort/couples-resorts-negril","false"
"https://kindredtrips.com/resort/couples-sans-souci","resort","false","noindex, follow","https://kindredtrips.com/resort/couples-sans-souci","false"
"https://kindredtrips.com/resort/couples-swept-away","resort","false","noindex, follow","https://kindredtrips.com/resort/couples-swept-away","false"
"https://kindredtrips.com/resort/couples-tower-isle","resort","false","noindex, follow","https://kindredtrips.com/resort/couples-tower-isle","false"
"https://kindredtrips.com/resort/cozumel-hotel-and-resort-trademark-collection-by-wyndham","resort","true","index, follow, max-image-preview:large","https://kindredtrips.com/resort/cozumel-hotel-and-resort-trademark-collection-by-wyndham","true"
"https://kindredtrips.com/resort/cozumel-palace","resort","true","index, follow, max-image-preview:large","https://kindredtrips.com/resort/cozumel-palace","true"
